iso3,rr
AGO,1.26330373414656
BGD,1.19141262143839
BRA,1.34486806651567
CAF,1.23594240446127
CHN,1.32308203519813
COD,1.19212214035427
COG,1.20926608083052
ETH,1.40330547579402
GAB,1.17304143534406
IDN,1.3411851632645
IND,1.3562526413365
KEN,1.28013213565452
LBR,1.20727532663631
LSO,1.10216030134265
MMR,1.16276841521856
MNG,1.35964777723741
MOZ,1.10968383108428
NAM,1.1731048322973
NGA,1.19440418474946
PAK,1.21358474843262
PHL,1.29620629513314
PNG,1.36462002719245
PRK,1.21622996029737
SLE,1.18134269991435
THA,1.19705932974588
TZA,1.11591954984696
UGA,1.12128533441999
VNM,1.17867111910864
ZAF,1.21704767121242
ZMB,1.20466577852493
