iso3,mixing,acat,CDR0,CDR
BRA,assortative,10-14,55.8351591215355,64.4225315831522
BRA,assortative,15-19,155.81703675001,176.29423007819
CHN,assortative,10-14,21.8065900022412,24.2503558386029
CHN,assortative,15-19,108.513443305656,116.576677189088
IND,assortative,10-14,54.700198722261,34.904184812314
IND,assortative,15-19,107.364881001784,66.751669647965
KEN,assortative,10-14,33.3125331510311,28.6485820063471
KEN,assortative,15-19,74.1940410862541,62.7918141767002
LSO,assortative,10-14,22.752112797631,20.2318177393047
LSO,assortative,15-19,30.7974867872423,24.8683057260601
MMR,assortative,10-14,95.8646965398092,77.6568062956755
MMR,assortative,15-19,84.0521936703463,67.2188109680826
NAM,assortative,10-14,42.500946988116,36.4516609929827
NAM,assortative,15-19,91.9270272084569,80.2570880464611
PHL,assortative,10-14,74.7370794889556,64.5960134270636
PHL,assortative,15-19,135.595272677348,112.825745846332
THA,assortative,10-14,19.1836762961761,18.6667706229364
THA,assortative,15-19,63.9328668651281,60.627693779527
BRA,random,10-14,55.8343887914261,64.4278510445188
BRA,random,15-19,200.229814886461,226.997002697149
CHN,random,10-14,21.8081166491169,24.2529048210844
CHN,random,15-19,137.837326592749,148.002607087454
IND,random,10-14,54.7016306278126,34.9019765202825
IND,random,15-19,138.758576757522,86.4564450618538
KEN,random,10-14,33.3226908763752,28.6548868121749
KEN,random,15-19,91.0814459274382,77.4729840057572
LSO,random,10-14,22.7544433915497,20.2315966804749
LSO,random,15-19,33.2524809150907,26.9955935310356
MMR,random,10-14,95.8605028673019,77.6670602682216
MMR,random,15-19,95.1694349362882,76.2594838241058
NAM,random,10-14,42.5289548630952,36.4782871029198
NAM,random,15-19,104.181119567783,91.2530870332473
PHL,random,10-14,74.7354330168634,64.5964102729416
PHL,random,15-19,169.284519591051,141.288086845883
THA,random,10-14,19.1835375793419,18.6664889854309
THA,random,15-19,74.5970669333105,70.8570708060445
