iso3,country,thinness_10-14,BMI.PAF_10-14,hiv_10-14,art_10-14,hiv.PAF_10-14,ppp_10-14,PPP.PAF_10-14,thinness_15-19,BMI.PAF_15-19,hiv_15-19,art_15-19,hiv.PAF_15-19,ppp_15-19,PPP.PAF_15-19,sex
AGO,Angola,106.2 (105.9 to 106.5),5.9 (5.6 to 6.1),0.2 (0.1 to 0.2),16.8 (16.8 to 16.8),1 (0.4 to 1.8),1.4 (1.4 to 1.4),0.8 (0.5 to 1.1),100.2 (100.1 to 100.3),0.2 (0.1 to 0.3),0.7 (0.4 to 1.2),6.4 (6.4 to 6.4),4.5 (1.8 to 9.2),18.1 (18.1 to 18.1),9.8 (6.4 to 13.4),F
AGO,Angola,121.6 (120.8 to 122.4),17.7 (17.2 to 18.3),0.2 (0.1 to 0.2),17 (17 to 17),1 (0.4 to 1.9),0 (0 to 0),0 (0 to 0),129.1 (128.1 to 130.1),22.5 (21.9 to 23.2),0.1 (0.1 to 0.2),20.5 (20.5 to 20.5),0.9 (0.4 to 1.8),0 (0 to 0),0 (0 to 0),M
BGD,Bangladesh,132.1 (130.8 to 133.3),24.3 (23.6 to 25),0 (0 to 0),77.6 (77.6 to 77.6),0 (0 to 0),0.3 (0.3 to 0.3),0.2 (0.1 to 0.2),123.6 (122.7 to 124.4),19.1 (18.5 to 19.6),0 (0 to 0),30.3 (30.3 to 30.3),0 (0 to 0),9.9 (9.9 to 9.9),5.6 (3.6 to 7.7),F
BGD,Bangladesh,139.6 (137.8 to 141.4),28.4 (27.4 to 29.3),0 (0 to 0),75.3 (75.3 to 75.3),0 (0 to 0),0 (0 to 0),0 (0 to 0),150.5 (148.4 to 152.6),33.6 (32.6 to 34.4),0 (0 to 0),28.8 (28.8 to 28.8),0 (0 to 0),0 (0 to 0),0 (0 to 0),M
BRA,Brazil,87.8 (87.6 to 88.1),-13.9 (-14.2 to -13.5),0 (0 to 0),82.5 (82.5 to 82.5),0.1 (0 to 0.1),0.3 (0.3 to 0.3),0.2 (0.1 to 0.3),84.2 (83.8 to 84.7),-18.8 (-19.4 to -18.1),0.1 (0.1 to 0.2),22.3 (22.3 to 22.3),0.6 (0.3 to 1.3),6.4 (6.4 to 6.4),3.6 (2.3 to 5.1),F
BRA,Brazil,85.4 (85.1 to 85.7),-17.1 (-17.5 to -16.6),0 (0 to 0),77.5 (77.5 to 77.5),0.1 (0 to 0.1),0 (0 to 0),0 (0 to 0),91 (90.8 to 91.2),-9.9 (-10.1 to -9.7),0.1 (0.1 to 0.1),23.8 (23.8 to 23.8),0.6 (0.2 to 1.1),0 (0 to 0),0 (0 to 0),M
CAF,Central African Republic,106.4 (106.1 to 106.7),6 (5.8 to 6.3),0.5 (0.4 to 0.6),16.1 (16.1 to 16.1),2.9 (1.4 to 5.2),1.3 (1.3 to 1.3),0.8 (0.5 to 1.1),100.5 (100.4 to 100.6),0.5 (0.4 to 0.6),1 (0.4 to 1.7),28.5 (28.5 to 28.5),5 (1.8 to 10.6),20.6 (20.6 to 20.6),10.9 (6.9 to 15.1),F
CAF,Central African Republic,122.1 (121.3 to 122.9),18.1 (17.6 to 18.6),0.5 (0.4 to 0.6),15.7 (15.7 to 15.7),2.9 (1.3 to 5.2),0 (0 to 0),0 (0 to 0),129.6 (128.5 to 130.6),22.8 (22.2 to 23.4),0.4 (0.3 to 0.5),20.1 (20.1 to 20.1),2.5 (1.2 to 4.4),0 (0 to 0),0 (0 to 0),M
CHN,China,96.3 (96.3 to 96.4),-3.8 (-3.9 to -3.8),0 (0 to 0),46 (46 to 46),0 (0 to 0),0 (0 to 0),0 (0 to 0),94.3 (94.1 to 94.5),-6 (-6.2 to -5.8),0 (0 to 0),20.2 (20.2 to 20.2),0.1 (0 to 0.1),1 (1 to 1),0.6 (0.4 to 0.9),F
CHN,China,84.4 (84.1 to 84.7),-18.5 (-18.9 to -18.1),0 (0 to 0),40.2 (40.2 to 40.2),0 (0 to 0),0 (0 to 0),0 (0 to 0),91.9 (91.8 to 92),-8.8 (-8.9 to -8.7),0 (0 to 0),13.3 (13.3 to 13.3),0.1 (0 to 0.3),0 (0 to 0),0 (0 to 0),M
COD,DR Congo,108.2 (107.8 to 108.5),7.6 (7.2 to 7.9),0.1 (0.1 to 0.2),28.7 (28.7 to 28.7),0.7 (0.3 to 1.3),0.6 (0.6 to 0.6),0.3 (0.2 to 0.5),102.4 (102.3 to 102.5),2.4 (2.3 to 2.5),0.2 (0.1 to 0.3),74.7 (74.7 to 74.7),0.5 (0.2 to 1.1),13.9 (13.9 to 13.9),7.7 (5 to 10.3),F
COD,DR Congo,125.4 (124.5 to 126.3),20.2 (19.7 to 20.8),0.1 (0.1 to 0.2),28 (28 to 28),0.7 (0.3 to 1.2),0 (0 to 0),0 (0 to 0),133.9 (132.7 to 135.1),25.3 (24.6 to 26),0.1 (0.1 to 0.2),100 (100 to 100),0.2 (0 to 0.4),0 (0 to 0),0 (0 to 0),M
