iso3,percentage
IND,45.1 (20.7 to 69.6)
PAK, 8.1 ( 4.0 to 12.1)
CHN, 7.6 ( 1.9 to 13.4)
NGA, 5.0 ( 2.8 to  7.2)
COD, 4.1 ( 1.9 to  6.3)
IDN, 3.7 ( 1.4 to  6.0)
ETH, 3.6 ( 1.6 to  5.6)
PHL, 3.2 ( 1.6 to  4.9)
ZAF, 2.9 ( 1.1 to  4.7)
BGD, 2.7 ( 1.3 to  4.1)
TZA, 2.2 ( 1.0 to  3.4)
KEN, 1.8 ( 0.5 to  3.0)
MOZ, 1.8 ( 0.4 to  3.1)
AGO, 1.5 ( 0.6 to  2.4)
UGA, 1.2 ( 0.6 to  1.7)
VNM, 1.0 ( 0.5 to  1.5)
MMR, 0.9 ( 0.5 to  1.4)
ZMB, 0.8 ( 0.3 to  1.3)
THA, 0.5 ( 0.3 to  0.7)
BRA, 0.5 ( 0.2 to  0.7)
CAF, 0.3 ( 0.2 to  0.5)
SLE, 0.3 ( 0.1 to  0.5)
PRK, 0.3 ( 0.1 to  0.5)
COG, 0.2 ( 0.2 to  0.3)
LBR, 0.2 ( 0.1 to  0.2)
PNG, 0.1 ( 0.1 to  0.2)
NAM, 0.1 ( 0.1 to  0.2)
LSO, 0.1 ( 0.0 to  0.2)
GAB, 0.0 ( 0.0 to  0.1)
MNG, 0.0 ( 0.0 to  0.1)
