acat,g_whoregion,txt
10-14,AFR,2 610 (2 020 to 3 200)
10-14,AMR,    1 (    0 to     2)
10-14,EMR,    0 (    0 to     0)
10-14,SEA,   16 (    6 to    26)
10-14,WPR,   15 (    7 to    23)
10-19,AFR,7 540 (6 140 to 8 940)
10-19,AMR,   17 (    8 to    26)
10-19,EMR,   45 (   18 to    72)
10-19,SEA,  556 (  352 to   760)
10-19,WPR,  447 (  236 to   658)
15-19,AFR,4 930 (3 660 to 6 200)
15-19,AMR,   15 (    6 to    25)
15-19,EMR,   45 (   18 to    72)
15-19,SEA,  539 (  335 to   743)
15-19,WPR,  431 (  220 to   642)
