iso3,acat,mixing,P.mid,P1.mid,P2.mid,LTBI.mid,LTBI1.mid,LTBI2.mid,P.lo,P1.lo,P2.lo,LTBI.lo,LTBI1.lo,LTBI2.lo,P.hi,P1.hi,P2.hi,LTBI.hi,LTBI1.hi,LTBI2.hi,inc.num.mid,inc.num0.mid,inc.num.lo,inc.num0.lo,inc.num.hi,inc.num0.hi,LTBI.fmt,inc.num0.fmt,inc.num.fmt,sex,notified,CDR0,CDR
AGO,10-14,assortative,0.151611090478298,0.0109896121104816,0.0217830900268043,635516.69817895,46065.7725017838,91309.398318397,0.121857862729338,0.0109896121104816,0.0217830900268043,510798.427242878,24531.0231944065,56395.6013140089,0.18081464731342,0.0109896121104816,0.0217830900268043,757930.88276391,76961.946291546,141465.796230979,5755.63998701,5002.80762847969,3158.83646317694,2754.22249201806,10572.8722834362,9157.69640453196,   636 000 (   511 000 to    758 000),     5 000 (  2 750 to   9 160),      5 760 (  3 160 to  10 600),B,,,
AGO,10-14,random,0.151611090478298,0.0109856672312983,0.0217753617284593,635516.69817895,46049.236530798,91277.0031774397,0.121857862729338,0.0109856672312983,0.0217753617284593,510798.427242878,24619.886156159,56355.0868680469,0.18081464731342,0.0109856672312983,0.0217753617284593,757930.88276391,77054.099004561,141342.347024873,5755.12459131882,5002.20123017699,3167.27704517398,2762.06725827981,10459.0054172537,9082.51420503869,   636 000 (   511 000 to    758 000),     5 000 (  2 760 to   9 080),      5 760 (  3 170 to  10 500),B,,,
AGO,15-19,assortative,0.22527263903116,0.0129808240120397,0.0252082639165183,764179.307572342,44034.0964082494,85512.5316046979,0.192304748044656,0.0129808240120397,0.0252082639165183,652344.2431165,23787.7692970337,52978.1408193046,0.259699193938357,0.0129808240120397,0.0252082639165183,880962.513043839,74596.7800386943,131551.155255949,6861.34989517867,5836.208689473,3836.37912302683,3285.05009590687,12749.2178280483,10850.1877042757,   764 000 (   652 000 to    881 000),     5 840 (  3 290 to  10 900),      6 860 (  3 840 to  12 700),B,,,
AGO,15-19,random,0.217771046458495,0.0103384260682305,0.0204908002548504,738732.090180458,35070.4431225463,69509.7532381142,0.185284773754658,0.0103384260682305,0.0204908002548504,628530.791491048,18902.3940263797,42805.0423417708,0.251632390511729,0.0103384260682305,0.0204908002548504,853597.963654288,58752.0563118081,106850.748770443,5679.97404521837,4830.6635332493,3227.92917278146,2755.26202808315,10496.5103624878,8893.71696746991,   739 000 (   629 000 to    854 000),     4 830 (  2 760 to   8 890),      5 680 (  3 230 to  10 500),B,,,
BGD,10-14,assortative,0.0825025334860668,0.00577811858688011,0.0111759161491911,1256619.76575339,88008.1825168054,170223.586356264,0.0704991555316144,0.00577811858688011,0.0111759161491911,1073792.87115966,48828.7019131036,97430.9571308741,0.100419673372056,0.00577811858688011,0.0111759161491911,1529520.86557605,154637.812543335,257442.050119416,12819.0554692862,9429.88645435423,6912.73159587118,5069.84803781139,22431.3073263629,16500.7965676952, 1 260 000 ( 1 070 000 to  1 530 000),     9 430 (  5 070 to  16 500),     12 800 (  6 910 to  22 400),B,,,
BGD,10-14,random,0.0825025334860668,0.00577764976465076,0.0111750903800237,1256619.76575339,88001.0417508782,170211.008829079,0.0704991555316144,0.00577764976465076,0.0111750903800237,1073792.87115966,48595.7061555832,97112.5502306086,0.100419673372056,0.00577764976465076,0.0111750903800237,1529520.86557605,155436.986650279,257321.541158979,12815.4330918162,9428.4123689539,6863.62997936592,5059.35270478008,22348.220296324,16462.5327630823, 1 260 000 ( 1 070 000 to  1 530 000),     9 430 (  5 060 to  16 500),     12 800 (  6 860 to  22 300),B,,,
BGD,15-19,assortative,0.128581097596621,0.00661756237944464,0.0126031167973615,2012400.25679263,103570.310727272,197249.175450065,0.111415795612254,0.00661756237944464,0.0126031167973615,1743749.11936315,57530.9392992277,112354.165991601,0.148628912830824,0.00661756237944464,0.0126031167973615,2326165.10465548,181951.284190327,299465.105766102,18977.7640460624,13815.0356135094,10283.5892805966,7487.17461861622,33205.6685957904,24172.0596188761, 2 010 000 ( 1 740 000 to  2 330 000),    13 800 (  7 490 to  24 200),     19 000 ( 10 300 to  33 200),B,,,
BGD,15-19,random,0.125616062400654,0.00556765501252639,0.0107692467369674,1965995.00982172,87138.3942614233,168547.596062098,0.108421071241753,0.00556765501252639,0.0107692467369674,1696879.21231721,48377.4278331693,95579.128368715,0.145099268001171,0.00556765501252639,0.0107692467369674,2270923.25111443,152490.772561191,255814.740849096,16475.8622910544,11994.1837303397,9057.21257790968,6589.75619180233,28126.3865029168,20451.7315243611, 1 970 000 ( 1 700 000 to  2 270 000),    12 000 (  6 590 to  20 500),     16 500 (  9 060 to  28 100),B,,,
BRA,10-14,assortative,0.0136937258026187,0.00105331811788963,0.00209141573841133,207481.705239973,15959.4432085173,31688.27169654,0.0110025123720289,0.00105331811788963,0.00209141573841133,166705.545428397,7804.23530086626,18401.5128382087,0.0165731764104039,0.00105331811788963,0.00209141573841133,251109.957394936,26642.2419917988,46584.1185654358,1522.79688791327,1757.00102458879,787.175223106282,908.56759218811,2715.4100873635,3132.31710870922,   207 000 (   167 000 to    251 000),     1 760 (   909 to   3 130),      1 520 (   787 to   2 720),B,981,55.8337750673534,64.4209354370491
BRA,10-14,random,0.0136937258026187,0.00105334154773683,0.00209145997793476,207481.705239973,15959.7982079324,31688.9419956165,0.0110025123720289,0.00105334154773683,0.00209145997793476,166705.545428397,7805.01668396428,18401.0877204992,0.0165731764104039,0.00105334154773683,0.00209145997793476,251109.957394936,26668.8569130023,46562.1343722216,1522.67501160439,1757.02965668863,788.252777965832,908.736916644912,2715.97155430818,3132.89811172932,   207 000 (   167 000 to    251 000),     1 760 (   909 to   3 130),      1 520 (   788 to   2 720),B,981,55.8328652146277,64.4260917479927
