measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,15,Myanmar,1,Male,7,10-14 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,100.48298311675637,227.74544431087517,30.823024210617483
6,Incidence,15,Myanmar,2,Female,7,10-14 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,114.09598017698339,268.6382219859612,34.080138674957425
6,Incidence,15,Myanmar,1,Male,8,15-19 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,238.0619420970006,548.5938515297826,77.152988753137
6,Incidence,15,Myanmar,2,Female,8,15-19 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,248.530297328159,596.3206874124156,81.37171255617271
6,Incidence,7,Democratic People's Republic of Korea,1,Male,7,10-14 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,11.982394024734146,29.947735756348024,3.494397321860238
6,Incidence,7,Democratic People's Republic of Korea,2,Female,7,10-14 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,11.657832315254598,28.946159209687927,3.473337108238551
6,Incidence,7,Democratic People's Republic of Korea,1,Male,8,15-19 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,52.85082376144901,131.21009411092626,15.964682652938441
6,Incidence,7,Democratic People's Republic of Korea,2,Female,8,15-19 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,39.816893816261725,100.11363554006755,11.600286119220021
6,Incidence,26,Papua New Guinea,1,Male,7,10-14 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,7.468017399278011,17.29060935895545,2.2712020165814666
6,Incidence,26,Papua New Guinea,2,Female,7,10-14 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,19.050515238182467,44.43940102320846,5.828760543122877
6,Incidence,26,Papua New Guinea,1,Male,8,15-19 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,22.44952046826027,54.07628404652409,7.472552030891497
6,Incidence,26,Papua New Guinea,2,Female,8,15-19 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,36.63948159279381,88.15233679372602,12.331358552875432
6,Incidence,26,Papua New Guinea,1,Male,7,10-14 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,0.6809774974327353,1.5753788274753393,0.2068259303765856
6,Incidence,26,Papua New Guinea,2,Female,7,10-14 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,1.7369995407474275,4.051968201091092,0.528996755174177
6,Incidence,26,Papua New Guinea,1,Male,8,15-19 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,2.046947594485315,4.932894144716886,0.6816179217367243
6,Incidence,26,Papua New Guinea,2,Female,8,15-19 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,3.340844062714933,8.058137769680094,1.125123955554328
6,Incidence,15,Myanmar,1,Male,7,10-14 years,934,Drug-susceptible tuberculosis,1,Number,2019,1619.027896558371,2518.513361742533,903.2270606584357
6,Incidence,15,Myanmar,2,Female,7,10-14 years,934,Drug-susceptible tuberculosis,1,Number,2019,1833.7450118968713,2830.6449232443047,1057.1403276942583
6,Incidence,15,Myanmar,1,Male,8,15-19 years,934,Drug-susceptible tuberculosis,1,Number,2019,3797.0463914948677,5489.329698683528,2378.9266206298607
6,Incidence,15,Myanmar,2,Female,8,15-19 years,934,Drug-susceptible tuberculosis,1,Number,2019,3967.8621590743214,5813.940638903928,2520.9750420268706
6,Incidence,7,Democratic People's Republic of Korea,1,Male,7,10-14 years,934,Drug-susceptible tuberculosis,1,Number,2019,262.6070676020243,421.82176813059584,150.5294669607192
6,Incidence,7,Democratic People's Republic of Korea,2,Female,7,10-14 years,934,Drug-susceptible tuberculosis,1,Number,2019,254.78950688123666,397.9759556469007,144.10662555326923
6,Incidence,7,Democratic People's Republic of Korea,1,Male,8,15-19 years,934,Drug-susceptible tuberculosis,1,Number,2019,1158.224191944554,1674.3298836469364,742.9757236747663
6,Incidence,7,Democratic People's Republic of Korea,2,Female,8,15-19 years,934,Drug-susceptible tuberculosis,1,Number,2019,870.012194654973,1253.85076951224,549.0774787746809
6,Incidence,161,Bangladesh,1,Male,7,10-14 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,3.0912734900369605,7.6912710068038095,0.7016338427326476
6,Incidence,161,Bangladesh,2,Female,7,10-14 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,4.841877923147512,12.389747498531422,1.1002634463369751
6,Incidence,161,Bangladesh,1,Male,8,15-19 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,7.050529634640263,17.31884205449003,1.6643841803567574
6,Incidence,161,Bangladesh,2,Female,8,15-19 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,9.846282340294255,25.350534696445216,2.2890932783080244
6,Incidence,38,Mongolia,1,Male,7,10-14 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,2.7063764073266197,7.529949364847548,0.5089935648177603
6,Incidence,38,Mongolia,2,Female,7,10-14 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,4.335155077675317,12.904865384494704,0.7852194432250976
6,Incidence,38,Mongolia,1,Male,8,15-19 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,8.433299055549307,22.347404901962253,1.6176061625665064
6,Incidence,38,Mongolia,2,Female,8,15-19 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,8.127992854499322,22.129863667057055,1.511455509350856
6,Incidence,15,Myanmar,1,Male,7,10-14 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,9.161628755455325,20.77758645753224,2.8049646955347742
6,Incidence,15,Myanmar,2,Female,7,10-14 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,10.404030693768712,24.491123038717358,3.1115036887032907
6,Incidence,15,Myanmar,1,Male,8,15-19 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,21.706352615174254,50.120288561291765,7.021182502787889
6,Incidence,15,Myanmar,2,Female,8,15-19 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,22.661798670853553,54.349109537327834,7.417726236065745
6,Incidence,7,Democratic People's Republic of Korea,1,Male,7,10-14 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,1.0924107800980578,2.731813709200363,0.31890245737428247
6,Incidence,7,Democratic People's Republic of Korea,2,Female,7,10-14 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,1.0630314362234077,2.6358578613204315,0.31663017837533747
6,Incidence,7,Democratic People's Republic of Korea,1,Male,8,15-19 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,4.819165148963238,11.937369435185532,1.449832758391046
6,Incidence,7,Democratic People's Republic of Korea,2,Female,8,15-19 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,3.630156649283138,9.124790818344282,1.0539675878504924
6,Incidence,161,Bangladesh,1,Male,7,10-14 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,126.12938584337296,314.5712540748251,28.663969503237098
6,Incidence,161,Bangladesh,2,Female,7,10-14 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,197.54652054892918,504.84373308845187,45.007104500100006
6,Incidence,161,Bangladesh,1,Male,8,15-19 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,287.64530966808553,706.0687556224552,68.05297050327592
6,Incidence,161,Bangladesh,2,Female,8,15-19 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,401.7354544683387,1035.369623466564,93.47279413110024
6,Incidence,20,Viet Nam,1,Male,7,10-14 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,7.388374666064141,19.327036227106245,1.9500009797071787
6,Incidence,20,Viet Nam,2,Female,7,10-14 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,5.281742448894454,14.396060684647916,1.3103377445291817
6,Incidence,20,Viet Nam,1,Male,8,15-19 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,16.976157404013886,44.10005178645722,4.686010226236618
6,Incidence,20,Viet Nam,2,Female,8,15-19 years,947,Extensively drug-resistant tuberculosis,1,Number,2019,11.957810459744104,30.3730099022572,3.3445322298762825
6,Incidence,20,Viet Nam,1,Male,7,10-14 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,81.0346948603399,212.0398347566841,21.376957045633947
6,Incidence,20,Viet Nam,2,Female,7,10-14 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,57.92524629620407,157.88050515602615,14.360412164586883
6,Incidence,20,Viet Nam,1,Male,8,15-19 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,186.1796735402552,483.38204765659555,51.364712944745904
6,Incidence,20,Viet Nam,2,Female,8,15-19 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,131.14534847119586,333.2479122796316,36.71687993475359
6,Incidence,135,Brazil,1,Male,8,15-19 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,76.53587814163778,240.42376330298066,13.964341905512432
6,Incidence,135,Brazil,2,Female,8,15-19 years,946,Multidrug-resistant tuberculosis without extensive drug resistance,1,Number,2019,54.92430506105305,168.3416885004964,9.523380832051656
6,Incidence,20,Viet Nam,1,Male,7,10-14 years,934,Drug-susceptible tuberculosis,1,Number,2019,1932.5917051305687,2830.3472038302134,1199.5781482162324
6,Incidence,20,Viet Nam,2,Female,7,10-14 years,934,Drug-susceptible tuberculosis,1,Number,2019,1382.0939036386662,2053.0254310921873,849.189337793922
6,Incidence,20,Viet Nam,1,Male,8,15-19 years,934,Drug-susceptible tuberculosis,1,Number,2019,4513.394829439621,6217.591745292138,2935.581006772752
6,Incidence,20,Viet Nam,2,Female,8,15-19 years,934,Drug-susceptible tuberculosis,1,Number,2019,3145.476724335232,4264.283512727803,2064.5283353112063
6,Incidence,6,China,1,Male,7,10-14 years,934,Drug-susceptible tuberculosis,1,Number,2019,3684.4605951055746,5434.801703478516,2246.9299086367473
